composite_error,center_error,pva_magnitude,circular_std,cwce,angular_Zscore,nmse,error_message,g_cosine,glob_inh,w_inh
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.58817635 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.59719439 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.57314629 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.59418838 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.59118236 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.58517034 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.57915832 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.58216433 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.5761523 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.57014028 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.55811623 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.56713427 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.56412826 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.55511022 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.56112224 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.55210421 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.62124248 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.5490982 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.54308617 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.53406814 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.52805611 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.54609218 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.53707415 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.53106212 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.5250501 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.52204409 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.51903808 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.51603206 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.51302605 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.51002004 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.50701403 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.50400802 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.49799599 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.501002 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.49498998 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.48897796 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.49198397 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.47995992 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.47695391 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.4739479 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.48296593 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.46793587 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.46492986 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.54008016 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.47094188 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.45891784 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.46192385 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.44689379 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.45591182 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.4498998 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.45290581 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.44388778 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.42284569 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.44088176 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.43787575 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.48597194 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.42885772 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.43486974 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.41983968 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.41683367 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.43186373 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.41382766 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.4258517 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.41082164 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.40781563 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.40180361 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.39278557 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.38977956 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.38076152 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.3987976 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.38376754 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.38677355 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.39579158 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.37775551 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.36573146 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.35971944 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.35671343 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.36272545 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.3507014 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.37174349 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.36873747 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.40480962 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.35370741 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.34468938 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.34769539 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.34168337 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.33867735 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.33567134 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.32665331 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.32965932 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.33266533 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.3747495 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.32364729 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.32064128 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.31462926 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.31763527 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.30561122 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.30861723 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.31162325 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.30260521 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.29358717 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.28456914 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.29659319 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.28757515 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.28156313 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.2995992 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.2755511 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.27855711 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.27254509 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.26953908 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.25150301 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.26653307 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.25450902 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.26352705 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.25751503 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.24849699 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.26052104 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.24248497 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.24549098 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.23947896 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.23647295 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.22144289 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.23346693 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.21543086 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.23046092 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.22745491 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.2244489 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.20340681 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.21242485 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.20641283 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.20941884 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.29058116 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.2004008 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.19739479 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.18837675 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.19138277 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.18537074 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.19438878 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.18236473 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.17935872 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.17635271 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.17034068 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.16432866 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.17334669 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.16733467 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.16132265 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.15531062 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.15230461 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.15831663 mV
